anio,cve_entidad,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2024,18,2,76120,75429,33412256.539998878,60426,39009,Nayarit
2024,7,2,97980,95783,45608014.31000256,89696,123698,Chiapas
2024,11,1,675298,675021,370267655.00001633,588166,143674,Guanajuato
2024,13,1,179026,178932,94616960.34000674,133232,106552,Hidalgo
2024,3,1,137714,137565,79013566.66000022,93346,27461,Baja California Sur
2024,12,1,99947,99593,49084839.11999915,78613,78332,Guerrero
2024,10,2,98813,98766,41497017.55999911,92501,35958,Durango
2024,31,1,273252,272808,137350583.13000748,239102,66507,Yucatán
2024,13,2,104899,104852,46122539.99000015,89850,113660,Hidalgo
2024,26,1,387712,387130,225768792.15001208,326059,100852,Sonora
2024,26,2,267421,267209,131640965.86000729,242033,106951,Sonora
2024,20,2,94320,93346,41014379.989999324,84222,83677,Oaxaca
2024,21,1,406280,404213,219112235.440015,345704,209587,Puebla
2024,12,2,64009,63810,27741474.82999987,55051,86181,Guerrero
2024,4,2,46048,45908,23705961.589999538,39694,36728,Campeche
2024,32,2,75598,75552,37543075.59000099,64999,49462,Zacatecas
2024,20,1,141298,138799,68661508.38000028,114745,76035,Oaxaca
2024,25,2,241377,240936,104204147.8300049,218406,152774,Sinaloa
2024,5,2,329749,329683,168764955.680006,304624,65820,Coahuila de Zaragoza
2024,18,1,109636,107770,51499062.829999365,78539,34102,Nayarit
2024,8,1,558696,556350,360912963.1600121,508812,102946,Chihuahua
2024,11,2,446082,445935,205864138.18000636,393919,139117,Guanajuato
2024,28,2,278328,277590,157798603.92000252,257481,82857,Tamaulipas
2024,6,2,61123,60695,28744773.259999286,53455,30316,Colima
2024,8,2,419805,419371,229536373.86000654,393381,112255,Chihuahua
2024,14,2,838157,833783,432279319.5100131,739443,304316,Jalisco
2024,19,1,1224309,1223908,820923231.7699986,1105384,141887,Nuevo León
2024,22,2,289524,289152,166269949.7200042,244374,81327,Querétaro
2024,28,1,423597,422209,268359322.77000028,375364,90415,Tamaulipas
2024,15,1,1134067,1133839,642143590.960011,957775,452556,Estado México
2024,25,1,344302,342597,162747559.47000933,291072,141060,Sinaloa
2024,3,2,83421,83335,44493143.01999969,62855,27300,Baja California Sur
2024,24,1,292054,288104,183372851.86000568,241181,69011,San Luis Potosí
2024,17,1,127693,124853,68316798.85000056,109061,52631,Morelos
2024,19,2,699886,699790,407582681.940009,640086,121238,Nuevo León
2024,22,1,426039,425702,289388545.6200039,347617,82548,Querétaro
2024,21,2,256174,255119,117850601.4500044,225313,227980,Puebla
2024,29,2,47401,47365,20970228.77999993,37849,40835,Tlaxcala
2024,24,2,195348,193746,105719577.25000055,164993,73081,San Luis Potosí
2024,10,1,159449,159160,79737098.92000097,143658,32866,Durango
2024,32,1,119345,119090,72909103.41000493,99048,44265,Zacatecas
2024,16,2,195482,193709,84968788.80000229,168483,133446,Michoacán de Ocampo
2024,1,2,145773,145634,71196750.1800027,135200,58742,Aguascalientes
2024,23,1,324891,324125,170310936.5599998,214663,53909,Quintana Roo
2024,30,2,300574,291917,156838757.67001376,272721,227297,Veracruz de Ignacio de la Llave
2024,4,1,96407,95869,67703957.51999989,74563,36762,Campeche
2024,17,2,92199,90439,43803481.82999864,82495,56290,Morelos
2024,16,1,283145,279570,139039931.9500102,234035,115588,Michoacán de Ocampo
2024,7,1,165241,162147,81866107.59000674,138237,126496,Chiapas
2024,1,1,212146,211857,124839844.7400038,193985,54067,Aguascalientes
2024,2,1,602344,601730,424123234.2200056,535918,90492,Baja California
2024,2,2,433164,432806,265151010.28000113,401580,92742,Baja California
2024,23,2,198820,198264,100598646.32000042,145141,53968,Quintana Roo
2024,9,2,1516913,1515551,1034849501.7400038,1347007,770930,Ciudad de México
2024,30,1,472760,457788,260262221.100026,384678,221600,Veracruz de Ignacio de la Llave
2026,1,2,148469,148467,87073741.75999734,139068,58997,Aguascalientes
2026,15,2,785161,785142,441947526.62997913,685311,485361,Estado México
2026,16,1,289250,287225,168972259.0499869,238442,119778,Michoacán de Ocampo
2026,16,2,198320,197295,103504163.72000137,172903,149468,Michoacán de Ocampo
2026,19,1,1251064,1250993,967681884.4099497,1136256,96564,Nuevo León
2026,19,2,735280,735266,496729513.6799864,680529,81927,Nuevo León
2026,22,3,2,2,1449.97,2,1,Querétaro
2026,5,1,531298,531291,387552456.25996906,479168,69307,Coahuila de Zaragoza
2026,15,3,4,4,2060.0299999999997,3,1,Estado México
2026,1,1,213979,213976,148740744.09998953,197579,55158,Aguascalientes
2026,10,2,101570,101570,51001978.780000776,95358,37469,Durango
2026,19,3,4,4,4138.78,3,1,Nuevo León
2026,9,1,2104533,2103241,1733025250.0399628,1727889,696761,Ciudad de México
2026,20,2,101160,100380,52532393.46000066,91031,94404,Oaxaca
2026,18,2,75917,75411,39420456.86000068,62715,40878,Nayarit
2026,21,1,400657,398958,249668739.10998034,345307,232927,Puebla
2026,6,3,1,1,330.57,1,1,Colima
2026,8,3,1,1,330.57,1,1,Chihuahua
2026,11,1,677976,677966,432148637.8499693,597757,140181,Guanajuato
2026,11,3,2,2,2506.52,2,0,Guanajuato
2026,22,2,298240,298126,198103908.57999206,256111,83761,Querétaro
2026,23,1,314056,313615,189563966.46999398,222992,52865,Quintana Roo
2026,32,2,74540,74530,43238996.730000444,64636,55637,Zacatecas
2026,13,1,185091,185068,110661787.47998904,143794,107118,Hidalgo
2026,17,1,122637,120290,74475963.13000059,106013,49987,Morelos
2026,25,2,232250,232248,120032427.18999036,214115,121244,Sinaloa
2026,28,3,0,0,0.0,0,1,Tamaulipas
2026,2,2,472443,472443,325178516.80719006,441387,102826,Baja California
2026,9,3,31,31,24783.85,25,23,Ciudad de México
2026,12,1,94424,94424,54849668.2300004,75646,71179,Guerrero
2026,24,2,204085,202484,125470593.3099964,176850,77637,San Luis Potosí
2026,28,2,269540,269215,177091323.9399935,253296,89017,Tamaulipas
2026,6,2,63945,63525,35204462.72000052,57036,26816,Colima
2026,7,2,102073,100063,55513551.96999978,94260,125516,Chiapas
2026,8,1,550267,550037,407390669.6299857,506899,98932,Chihuahua
2026,26,3,0,0,0.0,0,1,Sonora
2026,30,3,2,2,645.61,2,2,Veracruz de Ignacio de la Llave
2026,15,1,1245223,1245210,793705095.039947,1003732,479333,Estado México
2026,28,1,408537,407952,299542932.65998733,365873,95730,Tamaulipas
2026,30,2,301343,295353,186909458.29998365,275542,206648,Veracruz de Ignacio de la Llave
2026,7,1,164951,162263,95826822.35999098,141916,125762,Chiapas
2026,14,2,865450,861717,523223872.7199825,773857,321971,Jalisco
2026,14,1,1181392,1174552,818879222.7599424,1036220,299397,Jalisco
2026,14,3,20,20,9402.93,17,12,Jalisco
2026,26,2,264862,264861,154552259.0199968,243493,109876,Sonora
2026,27,2,67818,66727,36935905.15000056,61216,83971,Tabasco
2026,27,3,1,1,330.57,1,0,Tabasco
2026,17,2,92203,90673,51487961.20000022,83353,54763,Morelos
2026,5,3,3,3,1980.1100000000001,3,0,Coahuila de Zaragoza
2026,25,1,327344,327322,184805789.24998307,282267,108926,Sinaloa
2026,29,1,69439,69438,40759295.65000055,55640,42456,Tlaxcala
2026,1,3,1,1,330.58,1,0,Aguascalientes
2026,22,1,423490,423370,330024021.0399827,352417,84937,Querétaro
2026,23,2,202961,202725,119065362.93999562,157668,52587,Quintana Roo
2026,27,1,138645,136846,83500519.10000071,113571,86329,Tabasco
2026,31,1,263871,263871,152753865.5299863,239397,74944,Yucatán
2026,13,3,1,1,375.75,1,4,Hidalgo
2026,4,2,43379,43275,25852721.860000215,38242,29226,Campeche
2026,5,2,324676,324676,193282499.99999297,301722,60666,Coahuila de Zaragoza
2026,18,1,107632,106548,58226232.54000077,80135,35510,Nayarit
2026,8,2,415011,414897,265063648.38999915,392300,109210,Chihuahua
2026,26,1,379778,379775,263879724.8999734,326251,99959,Sonora
2026,4,1,87884,87531,66628058.820000105,70251,29840,Campeche
2026,21,2,258250,257400,139815560.57000124,229281,257634,Puebla
2026,29,2,46457,46457,24724252.42000027,38132,43049,Tlaxcala
2026,31,3,1,1,459.01,1,1,Yucatán
2026,2,1,634913,634913,494158032.8283395,577125,99541,Baja California
2026,2,3,1,1,462.6,1,1,Baja California
2026,11,2,453482,453480,245771172.60999608,404617,137200,Guanajuato
2026,9,2,1585251,1584219,1220122857.5799701,1406830,764540,Ciudad de México
2026,31,2,166532,166532,88948006.22999462,157899,70754,Yucatán
2026,32,1,116600,116558,82768722.54999515,97017,48361,Zacatecas
2026,12,2,65252,65252,33915914.8400005,56343,79990,Guerrero
2026,13,2,110333,110324,57575956.66000023,94808,115743,Hidalgo
2026,30,1,462669,452784,298505342.7799528,381216,195695,Veracruz de Ignacio de la Llave
2026,6,1,94450,93643,59653754.23000059,78137,24642,Colima
2026,10,1,166357,166357,96722694.6700009,151174,35224,Durango
2026,3,1,137336,137336,90801265.76000021,94215,27767,Baja California Sur
2026,3,2,86893,86892,53997544.59000042,66967,28468,Baja California Sur
2026,20,1,142637,140744,80734008.29000057,118394,82383,Oaxaca
2026,24,1,296871,293211,214577204.17998207,250497,73187,San Luis Potosí
2026,18,3,1,1,549.9,1,3,Nayarit
2026,21,3,0,0,0.0,0,2,Puebla
