anio,cve_entidad,rango_uma,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,9,W14,37646,37646,40908464.79000001,33574,0,Ciudad de México
2018,26,W4,67373,67373,18740431.969999984,57942,0,Sonora
2018,26,W19,1438,1438,2139071.499999999,1307,0,Sonora
2018,26,W16,3028,3028,3775294.2299999977,2715,0,Sonora
2018,26,W11,6993,6993,5908891.130000002,5956,0,Sonora
2018,26,W23,790,790,1431898.3800000004,720,0,Sonora
2018,28,W12,5915,5915,5476906.270000001,5300,0,Tamaulipas
2018,28,W10,9574,9574,7302495.070000005,8426,0,Tamaulipas
2018,3,W17,645,645,857316.9100000006,524,0,Baja California Sur
2018,13,W7,10131,10131,5326731.319999991,7242,0,Hidalgo
2018,13,W6,10280,10280,4537672.079999992,7579,0,Hidalgo
2018,13,W16,1023,1023,1274003.4899999998,893,0,Hidalgo
2018,13,W18,797,797,1121839.4299999992,679,0,Hidalgo
2018,13,W24,290,290,548682.0699999998,265,0,Hidalgo
2018,13,W22,285,285,493996.6999999999,251,0,Hidalgo
2018,5,W4,98142,98142,27337632.74999997,85177,0,Coahuila de Zaragoza
2018,4,W3,18967,18967,3745861.7200000198,15540,0,Campeche
2018,4,W16,709,709,886000.2400000003,541,0,Campeche
2018,4,W8,3593,3593,2163444.870000003,2730,0,Campeche
2018,4,W1,23,23,2032.2799999999988,21,0,Campeche
2018,5,W6,47376,47376,20882456.390000008,41496,0,Coahuila de Zaragoza
2018,5,W19,2328,2328,3467922.38,2186,0,Coahuila de Zaragoza
2018,22,W14,5433,5433,5901748.659999996,4662,0,Querétaro
2018,22,W17,3386,3386,4499892.239999997,3039,0,Querétaro
2018,22,W20,2174,2174,3412449.9000000004,1953,0,Querétaro
2018,22,W22,2247,2247,3884695.2199999983,2080,0,Querétaro
2018,22,,893,0,0.0,893,119786,Querétaro
2018,23,W17,989,989,1314048.2499999998,757,0,Quintana Roo
2018,32,W12,1778,1778,1642180.0500000007,1513,0,Zacatecas
2018,32,W21,276,276,455457.86000000034,249,0,Zacatecas
2018,6,W13,819,819,824041.94,576,0,Colima
2018,27,W5,9594,9594,3449025.94,7624,0,Tabasco
