entidad_federativa,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Chiapas,2016,1,False,70.36654558,70.36654558
Chiapas,2016,2,False,74.95213132,4.585585740000013
Chiapas,2016,3,False,108.20850102,33.25636969999999
Chiapas,2016,4,False,139.78765843,31.579157409999993
Chiapas,2017,1,False,147.06062861,147.06062861
Chiapas,2017,2,False,171.08945994,24.028831330000003
Chiapas,2017,3,False,180.16774391,9.078283970000001
Chiapas,2017,4,False,217.08652229,36.91877837999999
Chiapas,2018,1,False,60.71369628,60.71369628
Chiapas,2018,2,False,103.63318878,42.9194925
Chiapas,2018,3,False,87.44444145,-16.188747329999998
Chiapas,2018,4,False,70.22050105,-17.223940400000004
Chiapas,2019,1,False,164.23474514,164.23474514
Chiapas,2019,2,False,196.77639047,32.541645329999994
Chiapas,2019,3,False,226.82077229,30.044381820000012
Chiapas,2019,4,False,256.64730957,29.826537279999997
Chiapas,2020,1,False,106.83125734,106.83125734
Chiapas,2020,2,False,149.48996638,42.658709040000005
Chiapas,2020,3,False,130.24157228,-19.248394099999985
Chiapas,2020,4,False,133.14466188,2.903089599999987
Chiapas,2021,1,False,237.91277704,237.91277704
Chiapas,2021,2,False,231.7226732,-6.190103840000006
Chiapas,2021,3,False,217.60112462,-14.121548579999995
Chiapas,2021,4,False,157.04031791,-60.56080671000001
Chiapas,2022,1,False,292.12217061,292.12217061
Chiapas,2022,2,False,279.54591531,-12.576255300000014
Chiapas,2022,3,False,245.99760278,-33.548312530000004
Chiapas,2022,4,False,186.74043233,-59.25717044999999
Chiapas,2023,1,False,60.91236298,60.91236298
Chiapas,2023,2,False,52.74788517,-8.164477809999994
Chiapas,2023,3,False,44.13029016,-8.617595010000002
Chiapas,2023,4,False,31.98440286,-12.145887300000002
Chiapas,2024,1,False,81.85690927,81.85690927
Chiapas,2024,2,False,101.28419733,19.427288059999995
Chiapas,2024,3,False,105.81894184,4.534744509999996
Chiapas,2024,4,False,107.12312115,1.3041793100000092
Chiapas,2025,1,False,1.70557488,1.70557488
Chiapas,2025,2,False,23.79371971,22.08814483
Chiapas,2025,3,False,40.80943489,17.015715179999997
Chiapas,2025,4,False,32.04775454,-8.761680349999999
Chihuahua,2006,1,False,480.11286007,480.11286007
Chihuahua,2006,2,False,1054.97951707,574.8666569999999
Chihuahua,2006,3,False,1377.49950107,322.519984
Chihuahua,2006,4,False,1948.81807207,571.318571
Chihuahua,2007,1,False,617.152028,617.152028
Chihuahua,2007,2,False,923.233678,306.0816500000001
Chihuahua,2007,3,False,1618.432046,695.1983679999998
Chihuahua,2007,4,False,2267.159666,648.7276200000001
Chihuahua,2008,1,False,470.38544733,470.38544733
Chihuahua,2008,2,False,1270.51077733,800.1253300000001
Chihuahua,2008,3,False,1718.59001761,448.0792402799998
Chihuahua,2008,4,False,2625.23308961,906.6430720000003
Chihuahua,2009,1,False,576.4233228,576.4233228
Chihuahua,2009,2,False,849.12124607,272.69792326999993
Chihuahua,2009,3,False,1060.38707507,211.26582900000005
Chihuahua,2009,4,False,1424.71097407,364.323899
Chihuahua,2010,1,False,505.37118297,505.37118297
Chihuahua,2010,2,False,980.96655043,475.59536746
Chihuahua,2010,3,False,1293.73788151,312.7713310800001
Chihuahua,2010,4,False,1847.7813443,554.0434627899999
Chihuahua,2011,1,False,457.28135411,457.28135411
Chihuahua,2011,2,False,754.89209231,297.61073819999996
Chihuahua,2011,3,False,988.23845922,233.34636691000003
Chihuahua,2011,4,False,1218.11200509,229.87354586999993
Chihuahua,2012,1,False,553.06939018,553.06939018
Chihuahua,2012,2,False,840.63189589,287.56250571
Chihuahua,2012,3,False,1111.60475589,270.97285999999997
Chihuahua,2012,4,False,1186.89445868,75.28970279000009
Chihuahua,2013,1,False,841.53452523,841.53452523
Chihuahua,2013,2,False,1508.66629971,667.13177448
Chihuahua,2013,3,False,1469.47021188,-39.1960878299999
Chihuahua,2013,4,False,2311.44993289,841.97972101
Chihuahua,2014,1,False,784.85205697,784.85205697
Chihuahua,2014,2,False,1290.36455229,505.51249531999986
Chihuahua,2014,3,False,1597.47045086,307.10589857000014
Chihuahua,2014,4,False,1936.57971714,339.10926627999993
Chihuahua,2015,1,False,386.99510147,386.99510147
Chihuahua,2015,2,False,845.77405909,458.77895762
Chihuahua,2015,3,False,1981.8816594,1136.10760031
Chihuahua,2015,4,False,2524.5170713,542.6354119000002
Chihuahua,2016,1,False,462.64639061,462.64639061
Chihuahua,2016,2,False,872.05134452,409.40495391
Chihuahua,2016,3,False,1334.36545645,462.31411192999997
Chihuahua,2016,4,False,1986.06534541,651.69988896
Chihuahua,2017,1,False,605.75569285,605.75569285
Chihuahua,2017,2,False,1102.37406829,496.61837544
Chihuahua,2017,3,False,1594.22974997,491.8556816800001
Chihuahua,2017,4,False,1825.31164378,231.08189380999988
Chihuahua,2018,1,False,556.3052732,556.3052732
Chihuahua,2018,2,False,849.19319001,292.88791681
Chihuahua,2018,3,False,1102.50109982,253.30790981000007
Chihuahua,2018,4,False,1241.944623,139.44352318000006
Chihuahua,2019,1,False,575.44543856,575.44543856
Chihuahua,2019,2,False,816.12542738,240.67998882000006
Chihuahua,2019,3,False,1156.34029615,340.21486877000007
Chihuahua,2019,4,False,1406.99406254,250.65376638999987
Chihuahua,2020,1,False,357.81477529,357.81477529
Chihuahua,2020,2,False,575.58669091,217.77191562000002
Chihuahua,2020,3,False,504.66965146,-70.91703945
Chihuahua,2020,4,False,641.06340739,136.39375592999994
Chihuahua,2021,1,False,761.17480872,761.17480872
Chihuahua,2021,2,False,1313.54974995,552.37494123
Chihuahua,2021,3,False,1440.7478847,127.19813475000001
Chihuahua,2021,4,False,1920.12647121,479.3785865100001
Chihuahua,2022,1,False,865.5232627,865.5232627
Chihuahua,2022,2,False,1226.58201581,361.05875311
Chihuahua,2022,3,False,1708.64998622,482.06797041000004
Chihuahua,2022,4,False,1868.60854848,159.95856226
Chihuahua,2023,1,False,867.9354734,867.9354734
Chihuahua,2023,2,False,1158.46255622,290.5270828199999
Chihuahua,2023,3,False,1587.54528335,429.0827271300002
Chihuahua,2023,4,False,1963.119049,375.5737656499998
Chihuahua,2024,1,False,883.07859261,883.07859261
Chihuahua,2024,2,False,1035.49673185,152.41813924000007
Chihuahua,2024,3,False,1258.84451954,223.3477876899999
Chihuahua,2024,4,False,1536.27126486,277.42674532
Chihuahua,2025,1,False,686.55813563,686.55813563
Chihuahua,2025,2,False,1043.83891658,357.2807809499999
Chihuahua,2025,3,False,994.28893978,-49.54997679999997
Chihuahua,2025,4,False,1065.57390552,71.28496573999996
Ciudad de México,2006,1,False,3007.2462131,3007.2462131
Ciudad de México,2006,2,False,4602.9128181,1595.6666049999994
Ciudad de México,2006,3,False,4858.01372319,255.1009050900002
Ciudad de México,2006,4,False,5671.13031819,813.1165950000004
Ciudad de México,2007,1,False,3284.2945988,3284.2945988
Ciudad de México,2007,2,False,4209.82160261,925.5270038099998
Ciudad de México,2007,3,False,5203.54723958,993.7256369699999
Ciudad de México,2007,4,False,6931.5426727,1727.9954331200006
Ciudad de México,2008,1,False,2737.77580143,2737.77580143
Ciudad de México,2008,2,False,4926.5947339,2188.8189324700006
Ciudad de México,2008,3,False,5348.27320405,421.67847014999916
Ciudad de México,2008,4,False,7730.7926654,2382.5194613500007
Ciudad de México,2009,1,False,1251.89160346,1251.89160346
Ciudad de México,2009,2,False,3518.05625677,2266.16465331
Ciudad de México,2009,3,False,4087.48523942,569.4289826500003
Ciudad de México,2009,4,False,5254.6439443,1167.1587048799997
Ciudad de México,2010,1,False,1742.05394185,1742.05394185
Ciudad de México,2010,2,False,2562.177593,820.1236511499999
Ciudad de México,2010,3,False,3403.61656493,841.4389719300002
Ciudad de México,2010,4,False,4064.56403542,660.9474704899999
Ciudad de México,2011,1,False,2361.46483703,2361.46483703
Ciudad de México,2011,2,False,4167.44012354,1805.97528651
Ciudad de México,2011,3,False,5494.53818228,1327.09805874
Ciudad de México,2011,4,False,7507.60079845,2013.0626161700002
Ciudad de México,2012,1,False,842.29593498,842.29593498
Ciudad de México,2012,2,False,2027.73737052,1185.44143554
Ciudad de México,2012,3,False,2922.06689866,894.3295281399999
Ciudad de México,2012,4,False,1337.46684635,-1584.60005231
Ciudad de México,2013,1,False,1567.10885648,1567.10885648
Ciudad de México,2013,2,False,4027.1248901,2460.0160336199997
Ciudad de México,2013,3,False,4414.88562125,387.76073115000054
