entidad_federativa,tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Campeche,Cuentas entre compañías,2017,2,False,60.28495346,27.904826439999994
Campeche,Cuentas entre compañías,2017,3,False,149.6907074,89.40575394000001
Campeche,Cuentas entre compañías,2017,4,False,173.44671874,23.756011339999986
Campeche,Cuentas entre compañías,2018,1,False,-30.59806309,-30.59806309
Campeche,Cuentas entre compañías,2018,2,False,-3.47709663,27.120966459999998
Campeche,Cuentas entre compañías,2018,3,False,-44.41254065,-40.93544402
Campeche,Cuentas entre compañías,2018,4,False,7.78774079,52.20028144
Campeche,Cuentas entre compañías,2019,1,False,13.18342783,13.18342783
Campeche,Cuentas entre compañías,2019,2,False,34.22264136,21.039213529999998
Campeche,Cuentas entre compañías,2019,3,False,57.83071358,23.608072220000004
Campeche,Cuentas entre compañías,2019,4,False,26.2377964,-31.59291718
Campeche,Cuentas entre compañías,2020,1,False,9.98535953,9.98535953
Campeche,Cuentas entre compañías,2020,2,False,38.59618171,28.610822180000003
Campeche,Cuentas entre compañías,2020,3,False,33.74279554,-4.85338617
Campeche,Cuentas entre compañías,2020,4,False,27.61074166,-6.132053880000004
Campeche,Cuentas entre compañías,2021,1,False,6.39498072,6.39498072
Campeche,Cuentas entre compañías,2021,2,False,-6.37705514,-12.77203586
Campeche,Cuentas entre compañías,2021,3,False,-32.55742328,-26.180368140000002
Campeche,Cuentas entre compañías,2021,4,False,-19.38888189,13.168541390000001
Campeche,Cuentas entre compañías,2022,1,False,5.3727956,5.3727956
Campeche,Cuentas entre compañías,2022,2,False,7.20769857,1.83490297
Campeche,Cuentas entre compañías,2022,3,False,-52.67025299,-59.87795156
Campeche,Cuentas entre compañías,2022,4,False,-94.06155854,-41.39130554999999
Campeche,Cuentas entre compañías,2023,1,False,-14.05320845,-14.05320845
Campeche,Cuentas entre compañías,2023,2,False,-43.45297409,-29.39976564
Campeche,Cuentas entre compañías,2023,3,False,14.82290094,58.275875029999995
Campeche,Cuentas entre compañías,2023,4,False,65.90713096,51.08423002000001
Campeche,Cuentas entre compañías,2024,1,False,-13.37501333,-13.37501333
Campeche,Cuentas entre compañías,2024,2,False,64.17725694,77.55227027000001
Campeche,Cuentas entre compañías,2024,3,False,43.80793688,-20.369320060000007
Campeche,Cuentas entre compañías,2024,4,False,85.67834548,41.870408600000005
Campeche,Cuentas entre compañías,2025,1,False,-4.00451328,-4.00451328
Campeche,Cuentas entre compañías,2025,2,False,6.58707167,10.591584950000001
Campeche,Cuentas entre compañías,2025,3,False,54.47357446,47.88650279
Campeche,Cuentas entre compañías,2025,4,False,-35.15799472,-89.63156918
Chiapas,Cuentas entre compañías,2006,1,False,10.465823,10.465823
Chiapas,Cuentas entre compañías,2006,2,False,12.762657,2.2968340000000005
Chiapas,Cuentas entre compañías,2006,3,False,20.080046,7.317388999999999
Chiapas,Cuentas entre compañías,2006,4,False,17.217529,-2.8625170000000004
Chiapas,Cuentas entre compañías,2007,1,False,15.244508,15.244508
Chiapas,Cuentas entre compañías,2007,2,False,14.700696,-0.5438119999999991
Chiapas,Cuentas entre compañías,2007,3,False,5.372659,-9.328037000000002
Chiapas,Cuentas entre compañías,2007,4,False,15.800702,10.428042999999999
Chiapas,Cuentas entre compañías,2008,1,False,-2.162445,-2.162445
Chiapas,Cuentas entre compañías,2008,2,False,-7.009857,-4.847412
Chiapas,Cuentas entre compañías,2008,3,False,-40.548845,-33.538988
Chiapas,Cuentas entre compañías,2008,4,False,-29.193487,11.355357999999999
Chiapas,Cuentas entre compañías,2009,1,False,11.578771,11.578771
Chiapas,Cuentas entre compañías,2009,2,False,-8.999548,-20.578319
Chiapas,Cuentas entre compañías,2009,3,False,-2.046883,6.952665000000001
Chiapas,Cuentas entre compañías,2009,4,False,-24.944543,-22.89766
Chiapas,Cuentas entre compañías,2010,1,False,67.835469,67.835469
Chiapas,Cuentas entre compañías,2010,2,False,52.434362,-15.401107000000003
Chiapas,Cuentas entre compañías,2010,3,False,48.112463,-4.321899000000002
Chiapas,Cuentas entre compañías,2010,4,False,52.093997,3.9815340000000035
Chiapas,Cuentas entre compañías,2011,1,False,-3.362542,-3.362542
Chiapas,Cuentas entre compañías,2011,2,False,-30.816992,-27.454449999999998
Chiapas,Cuentas entre compañías,2011,3,False,-33.122078,-2.305086000000003
Chiapas,Cuentas entre compañías,2011,4,False,-6.389459,26.732619
Chiapas,Cuentas entre compañías,2012,1,False,14.737216,14.737216
Chiapas,Cuentas entre compañías,2012,2,False,17.972895,3.235679000000001
Chiapas,Cuentas entre compañías,2012,3,False,17.738337,-0.23455799999999982
Chiapas,Cuentas entre compañías,2012,4,False,17.159558,-0.5787790000000008
Chiapas,Cuentas entre compañías,2013,1,False,19.992235,19.992235
Chiapas,Cuentas entre compañías,2013,2,False,19.153303,-0.8389319999999998
Chiapas,Cuentas entre compañías,2013,3,False,30.728488,11.575184999999998
Chiapas,Cuentas entre compañías,2013,4,False,39.242239,8.513751
Chiapas,Cuentas entre compañías,2014,1,False,6.531166,6.531166
Chiapas,Cuentas entre compañías,2014,2,False,18.643371,12.112205
Chiapas,Cuentas entre compañías,2014,3,False,31.382633,12.739262
Chiapas,Cuentas entre compañías,2014,4,False,18.37507885,-13.007554149999997
Chiapas,Cuentas entre compañías,2015,1,False,13.97264686,13.97264686
Chiapas,Cuentas entre compañías,2015,2,False,13.1456423,-0.8270045599999989
Chiapas,Cuentas entre compañías,2015,3,False,41.53184595,28.38620365
Chiapas,Cuentas entre compañías,2015,4,False,49.03517936,7.503333410000003
Chiapas,Cuentas entre compañías,2016,1,False,-0.3017904,-0.3017904
Chiapas,Cuentas entre compañías,2016,2,False,-8.204137,-7.9023465999999996
Chiapas,Cuentas entre compañías,2016,3,False,10.78601375,18.990150749999998
Chiapas,Cuentas entre compañías,2016,4,False,15.70906292,4.923049169999999
Chiapas,Cuentas entre compañías,2017,1,False,4.77249209,4.77249209
Chiapas,Cuentas entre compañías,2017,2,False,9.70211036,4.929618270000001
Chiapas,Cuentas entre compañías,2017,3,False,18.21728714,8.51517678
Chiapas,Cuentas entre compañías,2017,4,False,47.36292339,29.14563625
