tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Total general,2022,4,False,36420.48694864,1804.8175311899977
Total general,2023,1,False,23658.91058713,23658.91058713
Total general,2023,2,False,32170.76055895,8511.84997182
Total general,2023,3,False,35214.38640445,3043.625845499999
Total general,2023,4,False,36477.61773275,1263.2313282999967
Total general,2024,1,False,27216.25856484,27216.25856484
Total general,2024,2,False,33698.35342612,6482.094861279995
Total general,2024,3,False,36761.70618286,3063.3527567400015
Total general,2024,4,False,37939.26483729,1177.5586544300022
Total general,2025,1,False,24412.60992549,24412.60992549
Total general,2025,2,False,38172.02680512,13759.416879629996
Total general,2025,3,False,45908.43995006,7736.413144940001
Total general,2025,4,False,40812.05762807,-5096.3823219900005
